imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
227,B_Instrumental_main-track,154,107.7334,27,99.5193,93,43.8163,1,172800,172800,100
228,B_Instrumental_main-track,6,54.4152,204,67.7331,93,65.3654,18,36924,2051.333,21.368
229,G_Lyrics_complementarytrack,76,49.675,255,43.9482,21,36.0142,21,99891,4756.714,57.807
230,G_Lyrics_complementarytrack,82,38.117,255,16.0253,19,24.5366,11,37919,3447.182,21.944
231,B_Instrumental_main-track,11,64.5662,225,70.3007,99,67.2815,15,47228,3148.533,27.331
232,B_Instrumental_main-track,6,13.107,153,63.9865,70,33.803,17,4991,293.588,2.888
233,G_Lyrics_complementarytrack,12,46.7956,255,52.8426,11,36.5816,1,40239,40239,23.286
234,G_Lyrics_complementarytrack,88,42.3957,255,18.7238,19,24.2636,5,89305,17861,51.681
235,G_Lyrics_complementarytrack,118,51.9087,251,25.77,21,25.8481,9,115899,12877.667,67.071
236,B_Instrumental_main-track,87,76.7457,127,87.9922,113,73.4348,29,51518,1776.483,29.814
237,B_Instrumental_main-track,12,56.7003,182,67.7567,93,70.5769,29,46284,1596,26.785
238,B_Instrumental_main-track,22,72.4449,235,54.6318,99,94.4822,7,62403,8914.714,36.113
239,B_Instrumental_main-track,19,68.7776,227,65.6579,93,91.858,13,52777,4059.769,30.542
240,Y_Special effects_titles,46,45.3293,255,94.6377,14,44.3277,147,8797,59.844,5.091
241,Y_Special effects_titles,84,38.9294,255,41.9404,16,24.8937,162,6327,39.056,3.661
242,Y_Special effects_titles,49,48.1903,255,47.7008,15,47.8132,96,16359,170.406,9.467
243,Y_Special effects_titles,107,68.048,253,37.438,17,25.1019,33,61635,1867.727,35.668
244,Y_Special effects_titles,51,39.0257,255,49.1305,15,44.5611,143,8785,61.434,5.084
245,Y_Special effects_titles,181,72.4598,252,38.2077,19,24.054,15,91581,6105.4,52.998
246,Y_Special effects_titles,56,43.7842,255,44.465,16,31.7101,127,12552,98.835,7.264
247,G_Lyrics_complementarytrack,97,63.5954,253,19.0012,19,26.7512,17,41244,2426.118,23.868
248,B_Instrumental_main-track,9,82.2089,127,91.5904,93,45.8152,17,37669,2215.824,21.799
249,B_Instrumental_main-track,13,100.0252,115,92.5132,93,33.2905,10,44709,4470.9,25.873
250,R_Video_footage_overlaps,66,46.2217,255,74.8776,19,35.1982,32,88479,2764.969,51.203
251,B_Instrumental_main-track,46,99.2784,51,91.3213,70,39.9044,1,172800,172800,100
252,B_Instrumental_main-track,8,51.2486,127,75.7781,113,31.8806,45,42719,949.311,24.722
253,B_Instrumental_main-track,9,54.9779,153,82.2311,111,32.4574,17,15256,897.412,8.829
254,G_Lyrics_complementarytrack,88,52.4825,255,13.9919,17,23.1618,7,37797,5399.571,21.873
255,R_Video_footage_overlaps,77,57.517,252,78.2947,21,37.3729,21,104345,4968.81,60.385
256,G_Lyrics_complementarytrack,104,50.8954,255,14.886,18,24.0732,7,37614,5373.429,21.767
257,G_Lyrics_complementarytrack,83,29.6932,255,18.3447,18,38.5866,5,136007,27201.4,78.708
258,B_Instrumental_main-track,24,86.4531,102,93.5689,93,42.6419,20,52969,2648.45,30.653
259,B_Instrumental_main-track,7,74.6103,141,77.7519,93,24.5735,10,27653,2765.3,16.003
260,G_Lyrics_complementarytrack,119,78.2763,253,31.0138,15,32.1568,2,53996,26998,31.248
261,R_Video_footage_overlaps,63,51.7725,248,64.9202,20,38.7505,14,72882,5205.857,42.177
262,G_Lyrics_complementarytrack,48,50.93,250,73.0927,20,39.9249,23,54894,2386.696,31.767
263,G_Lyrics_complementarytrack,26,33.0074,252,84.2216,18,41.7588,21,43652,2078.667,25.262
264,R_Video_footage_overlaps,0,0.7549,0,117.2068,0,36.6223,23,2184,94.957,1.264
